tx_base,tx_slope,dtx_base,dtx_slope,rx_base,rx_slope,mean_delivery_pct,std_pct,min_pct,max_pct,total_delivered,total_sent,mean_ack_pct,mean_chan_pct,n_seeds
0.0,0.04,0.0,0.04,0.5,0.02,35.0,2.6,32,38,70,200,18.0,31.0,4
0.0,0.04,0.0,0.04,1.0,0.02,33.0,2.6,30,36,66,200,17.0,31.8,4
0.0,0.04,0.5,0.04,1.0,0.02,32.5,4.4,26,36,65,200,15.5,30.2,4
0.0,0.04,0.5,0.04,0.5,0.02,32.0,2.8,30,36,64,200,16.5,29.8,4
0.0,0.04,2.0,0.04,0.5,0.02,32.0,5.9,26,38,64,200,15.5,30.5,4
1.0,0.04,0.0,0.04,1.0,0.02,31.5,2.5,28,34,63,200,20.0,28.0,4
0.0,0.04,2.0,0.04,1.0,0.02,31.5,6.8,22,38,63,200,16.5,31.2,4
0.5,0.04,0.0,0.04,1.0,0.02,31.0,3.5,28,36,62,200,15.0,31.0,4
0.0,0.04,1.5,0.04,0.5,0.02,31.0,4.2,26,36,62,200,13.0,29.0,4
2.0,0.04,0.5,0.04,0.0,0.02,30.5,1.0,30,32,61,200,19.5,27.2,4
2.0,0.04,0.0,0.04,1.0,0.02,30.5,2.5,28,34,61,200,18.5,22.5,4
0.5,0.04,0.5,0.04,0.5,0.02,30.5,3.0,28,34,61,200,15.5,25.5,4
0.5,0.04,1.5,0.04,1.0,0.02,30.5,3.0,26,32,61,200,15.5,28.5,4
1.0,0.04,2.0,0.04,0.5,0.02,30.0,2.8,26,32,60,200,18.5,28.0,4
1.0,0.04,2.0,0.04,0.0,0.02,30.0,3.7,26,34,60,200,14.0,29.0,4
0.5,0.04,0.5,0.04,1.0,0.02,29.5,1.0,28,30,59,200,13.5,32.0,4
2.0,0.04,0.0,0.04,0.5,0.02,29.5,2.5,26,32,59,200,17.0,23.5,4
0.5,0.04,0.0,0.04,0.5,0.02,29.5,3.0,26,32,59,200,14.0,28.5,4
0.5,0.04,1.0,0.04,1.0,0.02,29.5,3.0,26,32,59,200,13.0,31.2,4
1.0,0.04,1.5,0.04,1.0,0.02,29.5,3.4,26,34,59,200,17.5,27.8,4
2.0,0.04,2.0,0.04,0.0,0.02,29.5,3.4,26,34,59,200,15.5,26.5,4
1.0,0.04,0.5,0.04,1.0,0.02,29.5,4.1,24,34,59,200,17.5,28.8,4
1.0,0.04,1.5,0.04,0.5,0.02,29.5,4.1,24,34,59,200,14.0,33.2,4
0.5,0.04,1.0,0.04,0.5,0.02,29.5,4.4,24,34,59,200,13.0,28.0,4
2.0,0.04,2.0,0.04,0.5,0.02,29.0,2.6,26,32,58,200,13.5,26.5,4
0.0,0.04,0.5,0.04,0.0,0.02,29.0,3.8,26,34,58,200,9.0,27.5,4
0.0,0.04,1.0,0.04,0.5,0.02,29.0,3.8,26,34,58,200,15.5,28.8,4
0.0,0.04,1.0,0.04,1.0,0.02,29.0,3.8,26,34,58,200,16.0,31.0,4
1.5,0.04,0.0,0.04,1.0,0.02,29.0,8.1,18,36,58,200,20.5,24.5,4
0.0,0.04,0.0,0.04,0.0,0.02,28.5,2.5,26,32,57,200,14.0,31.5,4
0.5,0.04,0.0,0.04,0.0,0.02,28.5,3.4,24,32,57,200,19.5,29.5,4
1.0,0.04,0.5,0.04,0.5,0.02,28.5,3.4,24,32,57,200,16.5,29.2,4
0.5,0.04,2.0,0.04,1.0,0.02,28.5,4.1,24,34,57,200,14.0,32.8,4
1.0,0.04,0.0,0.04,0.0,0.02,28.5,4.1,24,32,57,200,17.5,29.5,4
1.5,0.04,1.0,0.04,1.0,0.02,28.5,4.4,22,32,57,200,17.5,23.0,4
0.5,0.04,2.0,0.04,0.5,0.02,28.5,5.7,22,36,57,200,13.5,27.5,4
1.5,0.04,0.0,0.04,0.0,0.02,28.5,5.7,20,32,57,200,16.0,27.8,4
2.0,0.04,0.5,0.04,0.5,0.02,28.0,0.0,28,28,56,200,15.0,25.5,4
0.0,0.04,1.5,0.04,0.0,0.02,28.0,1.6,26,30,56,200,12.5,26.0,4
1.5,0.04,0.5,0.04,1.0,0.02,28.0,1.6,26,30,56,200,14.5,28.8,4
1.5,0.04,1.0,0.04,0.0,0.02,28.0,1.6,26,30,56,200,15.5,26.0,4
0.5,0.04,1.5,0.04,0.5,0.02,28.0,4.3,24,34,56,200,13.0,28.0,4
1.5,0.04,1.5,0.04,0.0,0.02,27.5,1.0,26,28,55,200,15.0,26.5,4
1.0,0.04,1.5,0.04,0.0,0.02,27.5,1.9,26,30,55,200,17.0,32.2,4
2.0,0.04,0.5,0.04,1.0,0.02,27.5,1.9,26,30,55,200,17.0,25.0,4
2.0,0.04,2.0,0.04,1.0,0.02,27.5,1.9,26,30,55,200,17.5,26.0,4
0.5,0.04,0.5,0.04,0.0,0.02,27.5,3.0,24,30,55,200,15.5,28.5,4
0.0,0.04,1.5,0.04,1.0,0.02,27.5,3.4,24,32,55,200,13.0,30.8,4
0.0,0.04,2.0,0.04,0.0,0.02,27.5,3.4,24,32,55,200,11.0,29.5,4
1.5,0.04,2.0,0.04,0.0,0.02,27.5,3.4,24,32,55,200,15.5,24.0,4
1.0,0.04,0.0,0.04,0.5,0.02,27.5,4.1,22,32,55,200,14.5,31.0,4
0.5,0.04,1.0,0.04,0.0,0.02,27.0,2.6,24,30,54,200,16.5,30.8,4
1.5,0.04,0.5,0.04,0.0,0.02,27.0,3.5,24,32,54,200,16.0,27.5,4
1.5,0.04,2.0,0.04,1.0,0.02,27.0,3.8,22,30,54,200,16.5,29.8,4
1.0,0.04,2.0,0.04,1.0,0.02,27.0,5.3,22,34,54,200,15.5,26.8,4
1.0,0.04,1.0,0.04,0.5,0.02,26.5,1.0,26,28,53,200,16.0,29.5,4
0.5,0.04,1.5,0.04,0.0,0.02,26.5,3.4,22,30,53,200,16.0,27.5,4
1.5,0.04,1.0,0.04,0.5,0.02,26.5,3.4,22,30,53,200,18.5,26.0,4
1.5,0.04,0.0,0.04,0.5,0.02,26.5,4.1,22,32,53,200,16.5,28.5,4
1.0,0.04,0.5,0.04,0.0,0.02,26.5,5.0,20,32,53,200,13.0,28.0,4
1.5,0.04,2.0,0.04,0.5,0.02,26.5,5.7,20,34,53,200,17.0,27.5,4
1.0,0.04,1.0,0.04,1.0,0.02,26.5,6.0,20,34,53,200,15.5,25.5,4
1.0,0.04,1.0,0.04,0.0,0.02,26.0,3.7,22,30,52,200,17.0,29.0,4
2.0,0.04,0.0,0.04,0.0,0.02,26.0,5.4,18,30,52,200,15.5,26.8,4
2.0,0.04,1.0,0.04,0.0,0.02,25.5,3.4,22,30,51,200,15.0,28.5,4
2.0,0.04,1.5,0.04,0.0,0.02,25.5,3.4,22,30,51,200,12.0,27.0,4
0.0,0.04,1.0,0.04,0.0,0.02,25.5,3.8,20,28,51,200,10.0,28.5,4
2.0,0.04,1.0,0.04,1.0,0.02,25.0,3.5,22,28,50,200,14.5,23.0,4
1.5,0.04,0.5,0.04,0.5,0.02,25.0,3.8,22,30,50,200,19.0,31.8,4
1.5,0.04,1.5,0.04,0.5,0.02,25.0,3.8,20,28,50,200,16.0,30.0,4
1.5,0.04,1.5,0.04,1.0,0.02,25.0,5.3,20,32,50,200,15.0,23.0,4
0.5,0.04,2.0,0.04,0.0,0.02,24.5,1.0,24,26,49,200,14.0,31.5,4
2.0,0.04,1.5,0.04,1.0,0.02,24.0,2.8,22,28,48,200,14.5,23.0,4
2.0,0.04,1.5,0.04,0.5,0.02,24.0,4.9,18,28,48,200,13.0,24.5,4
2.0,0.04,1.0,0.04,0.5,0.02,24.0,5.2,18,30,48,200,15.5,26.0,4
